CostID,SchoolYear,SchoolState,SchoolType,EducationLevel,AnnualTotalDegreeCost,EstimatedTotalDegreeCost
82,2021,Florida,Public Out-of-State,Associate Degree,9111,18222
83,2021,Florida,Public Out-of-State,Bachelor's Degree,29325,117300
84,2021,Georgia,Private,Bachelor's Degree,43627,174508
85,2021,Georgia,Private,Doctoral Degree,54532,272660
86,2021,Georgia,Private,Master's Degree,46370,92740
87,2021,Georgia,Public In-State,Associate Degree,3169,6338
88,2021,Georgia,Public In-State,Bachelor's Degree,11186,44744
89,2021,Georgia,Public In-State,Doctoral Degree,33739,168695
90,2021,Georgia,Public In-State,Master's Degree,24902,49804
91,2021,Georgia,Public Out-of-State,Associate Degree,8535,17070
92,2021,Georgia,Public Out-of-State,Bachelor's Degree,34616,138464
93,2021,Hawaii,Private,Bachelor's Degree,32948,131792
94,2021,Hawaii,Private,Doctoral Degree,54347,271735
95,2021,Hawaii,Private,Master's Degree,44977,89954
96,2021,Hawaii,Public In-State,Associate Degree,3226,6452
97,2021,Hawaii,Public In-State,Bachelor's Degree,11815,47260
98,2021,Hawaii,Public In-State,Doctoral Degree,33407,167035
99,2021,Hawaii,Public In-State,Master's Degree,25253,50506
100,2021,Hawaii,Public Out-of-State,Associate Degree,8378,16756
101,2021,Hawaii,Public Out-of-State,Bachelor's Degree,43858,175432
102,2021,Idaho,Private,Bachelor's Degree,15180,60720
103,2021,Idaho,Private,Doctoral Degree,52582,262910
104,2021,Idaho,Private,Master's Degree,41707,83414
105,2021,Idaho,Public In-State,Associate Degree,3332,6664
106,2021,Idaho,Public In-State,Bachelor's Degree,9036,36144
107,2021,Idaho,Public In-State,Doctoral Degree,35732,178660
108,2021,Idaho,Public In-State,Master's Degree,24531,49062
109,2021,Idaho,Public Out-of-State,Associate Degree,8235,16470
110,2021,Idaho,Public Out-of-State,Bachelor's Degree,33736,134944
111,2021,Illinois,Private,Bachelor's Degree,49783,199132
112,2021,Illinois,Private,Doctoral Degree,53966,269830
113,2021,Illinois,Private,Master's Degree,44060,88120
114,2021,Illinois,Public In-State,Associate Degree,4180,8360
115,2021,Illinois,Public In-State,Bachelor's Degree,11673,46692
116,2021,Illinois,Public In-State,Doctoral Degree,35744,178720
117,2021,Illinois,Public In-State,Master's Degree,25297,50594
118,2021,Illinois,Public Out-of-State,Associate Degree,11166,22332
119,2021,Illinois,Public Out-of-State,Bachelor's Degree,40333,161332
120,2021,Indiana,Private,Bachelor's Degree,48211,192844
121,2021,Indiana,Private,Doctoral Degree,57778,288890
122,2021,Indiana,Private,Master's Degree,45444,90888
123,2021,Indiana,Public In-State,Associate Degree,4637,9274
124,2021,Indiana,Public In-State,Bachelor's Degree,10915,43660
125,2021,Indiana,Public In-State,Doctoral Degree,33987,169935
126,2021,Indiana,Public In-State,Master's Degree,27553,55106
127,2021,Indiana,Public Out-of-State,Associate Degree,8927,17854
128,2021,Indiana,Public Out-of-State,Bachelor's Degree,39887,159548
129,2021,Iowa,Private,Bachelor's Degree,45382,181528
130,2021,Iowa,Private,Doctoral Degree,57028,285140
131,2021,Iowa,Private,Master's Degree,41788,83576
132,2021,Iowa,Public In-State,Associate Degree,5411,10822
133,2021,Iowa,Public In-State,Bachelor's Degree,10416,41664
134,2021,Iowa,Public In-State,Doctoral Degree,34476,172380
135,2021,Iowa,Public In-State,Master's Degree,27526,55052
136,2021,Iowa,Public Out-of-State,Associate Degree,6844,13688
137,2021,Iowa,Public Out-of-State,Bachelor's Degree,38100,152400
138,2021,Kansas,Private,Bachelor's Degree,35339,141356
139,2021,Kansas,Private,Doctoral Degree,55178,275890
140,2021,Kansas,Private,Master's Degree,42884,85768
141,2021,Kansas,Public In-State,Associate Degree,3648,7296
142,2021,Kansas,Public In-State,Bachelor's Degree,10001,40004
143,2021,Kansas,Public In-State,Doctoral Degree,31894,159470
144,2021,Kansas,Public In-State,Master's Degree,25750,51500
145,2021,Kansas,Public Out-of-State,Associate Degree,4828,9656
146,2021,Kansas,Public Out-of-State,Bachelor's Degree,33946,135784
147,2021,Kentucky,Private,Bachelor's Degree,36275,145100
148,2021,Kentucky,Private,Doctoral Degree,51377,256885
149,2021,Kentucky,Private,Master's Degree,42856,85712
150,2021,Kentucky,Public In-State,Associate Degree,4517,9034
151,2021,Kentucky,Public In-State,Bachelor's Degree,11342,45368
152,2021,Kentucky,Public In-State,Doctoral Degree,32580,162900
153,2021,Kentucky,Public In-State,Master's Degree,23267,46534
154,2021,Kentucky,Public Out-of-State,Associate Degree,15262,30524
155,2021,Kentucky,Public Out-of-State,Bachelor's Degree,36391,145564
156,2021,Louisiana,Private,Bachelor's Degree,55526,222104
157,2021,Louisiana,Private,Doctoral Degree,57841,289205
158,2021,Louisiana,Private,Master's Degree,47868,95736
159,2021,Louisiana,Public In-State,Associate Degree,4219,8438
160,2021,Louisiana,Public In-State,Bachelor's Degree,10389,41556
161,2021,Louisiana,Public In-State,Doctoral Degree,34396,171980
162,2021,Louisiana,Public In-State,Master's Degree,25961,51922
163,2021,Louisiana,Public Out-of-State,Associate Degree,6770,13540
164,2021,Louisiana,Public Out-of-State,Bachelor's Degree,33722,134888
165,2021,Maine,Private,Bachelor's Degree,53955,215820
166,2021,Maine,Private,Doctoral Degree,56332,281660
167,2021,Maine,Private,Master's Degree,46105,92210
168,2021,Maine,Public In-State,Associate Degree,3857,7714
169,2021,Maine,Public In-State,Bachelor's Degree,10300,41200
170,2021,Maine,Public In-State,Doctoral Degree,34211,171055
171,2021,Maine,Public In-State,Master's Degree,26326,52652
172,2021,Maine,Public Out-of-State,Associate Degree,6746,13492
173,2021,Maine,Public Out-of-State,Bachelor's Degree,39361,157444
174,2021,Maryland,Private,Bachelor's Degree,58134,232536
175,2021,Maryland,Private,Doctoral Degree,54848,274240
176,2021,Maryland,Private,Master's Degree,42456,84912
177,2021,Maryland,Public In-State,Associate Degree,4369,8738
178,2021,Maryland,Public In-State,Bachelor's Degree,12979,51916
179,2021,Maryland,Public In-State,Doctoral Degree,33082,165410
180,2021,Maryland,Public In-State,Master's Degree,26846,53692
181,2021,Maryland,Public Out-of-State,Associate Degree,10623,21246
182,2021,Maryland,Public Out-of-State,Bachelor's Degree,39355,157420
183,2021,Massachusetts,Private,Bachelor's Degree,65783,263132
184,2021,Massachusetts,Private,Doctoral Degree,51488,257440
185,2021,Massachusetts,Private,Master's Degree,45092,90184
186,2021,Massachusetts,Public In-State,Associate Degree,5529,11058
187,2021,Massachusetts,Public In-State,Bachelor's Degree,14378,57512
188,2021,Massachusetts,Public In-State,Doctoral Degree,33206,166030
189,2021,Massachusetts,Public In-State,Master's Degree,25621,51242
190,2021,Massachusetts,Public Out-of-State,Associate Degree,10680,21360
191,2021,Massachusetts,Public Out-of-State,Bachelor's Degree,46397,185588
192,2021,Michigan,Private,Bachelor's Degree,41790,167160
193,2021,Michigan,Private,Doctoral Degree,57210,286050
194,2021,Michigan,Private,Master's Degree,42847,85694
195,2021,Michigan,Public In-State,Associate Degree,3756,7512
196,2021,Michigan,Public In-State,Bachelor's Degree,11061,44244
197,2021,Michigan,Public In-State,Doctoral Degree,36033,180165
198,2021,Michigan,Public In-State,Master's Degree,25035,50070
199,2021,Michigan,Public Out-of-State,Associate Degree,7707,15414
200,2021,Michigan,Public Out-of-State,Bachelor's Degree,50488,201952
201,2021,Minnesota,Private,Bachelor's Degree,45775,183100
202,2021,Minnesota,Private,Doctoral Degree,57681,288405
203,2021,Minnesota,Private,Master's Degree,42848,85696
204,2021,Minnesota,Public In-State,Associate Degree,5545,11090
205,2021,Minnesota,Public In-State,Bachelor's Degree,10021,40084
206,2021,Minnesota,Public In-State,Doctoral Degree,31077,155385
207,2021,Minnesota,Public In-State,Master's Degree,24227,48454
208,2021,Minnesota,Public Out-of-State,Associate Degree,6012,12024
209,2021,Minnesota,Public Out-of-State,Bachelor's Degree,34641,138564
210,2021,Mississippi,Private,Bachelor's Degree,28263,113052
211,2021,Mississippi,Private,Doctoral Degree,54430,272150
212,2021,Mississippi,Private,Master's Degree,43226,86452
213,2021,Mississippi,Public In-State,Associate Degree,3491,6982
214,2021,Mississippi,Public In-State,Bachelor's Degree,10579,42316
215,2021,Mississippi,Public In-State,Doctoral Degree,32482,162410
216,2021,Mississippi,Public In-State,Master's Degree,24788,49576
217,2021,Mississippi,Public Out-of-State,Associate Degree,5820,11640
218,2021,Mississippi,Public Out-of-State,Bachelor's Degree,30739,122956
219,2021,Missouri,Private,Bachelor's Degree,38798,155192
220,2021,Missouri,Private,Doctoral Degree,55621,278105
221,2021,Missouri,Private,Master's Degree,43612,87224
222,2021,Missouri,Public In-State,Associate Degree,3676,7352
223,2021,Missouri,Public In-State,Bachelor's Degree,10084,40336
224,2021,Missouri,Public In-State,Doctoral Degree,33390,166950
225,2021,Missouri,Public In-State,Master's Degree,26202,52404
226,2021,Missouri,Public Out-of-State,Associate Degree,6783,13566
227,2021,Missouri,Public Out-of-State,Bachelor's Degree,31964,127856
228,2021,Montana,Private,Bachelor's Degree,41908,167632
229,2021,Montana,Private,Doctoral Degree,52525,262625
230,2021,Montana,Private,Master's Degree,48192,96384
231,2021,Montana,Public In-State,Associate Degree,3981,7962
232,2021,Montana,Public In-State,Bachelor's Degree,9938,39752
233,2021,Montana,Public In-State,Doctoral Degree,35782,178910
234,2021,Montana,Public In-State,Master's Degree,24531,49062
235,2021,Montana,Public Out-of-State,Associate Degree,9038,18076
236,2021,Montana,Public Out-of-State,Bachelor's Degree,36306,145224
237,2021,Nebraska,Private,Bachelor's Degree,34984,139936
238,2021,Nebraska,Private,Doctoral Degree,50276,251380
239,2021,Nebraska,Private,Master's Degree,41623,83246
240,2021,Nebraska,Public In-State,Associate Degree,3179,6358
241,2021,Nebraska,Public In-State,Bachelor's Degree,10591,42364
242,2021,Nebraska,Public In-State,Doctoral Degree,31055,155275
243,2021,Nebraska,Public In-State,Master's Degree,26671,53342
244,2021,Nebraska,Public Out-of-State,Associate Degree,3956,7912
245,2021,Nebraska,Public Out-of-State,Bachelor's Degree,32868,131472
246,2021,Nevada,Private,Bachelor's Degree,40241,160964
247,2021,Nevada,Private,Doctoral Degree,54572,272860
248,2021,Nevada,Private,Master's Degree,46057,92114
249,2021,Nevada,Public In-State,Bachelor's Degree,11631,46524
250,2021,Nevada,Public In-State,Doctoral Degree,34933,174665
251,2021,Nevada,Public In-State,Master's Degree,25490,50980
252,2021,Nevada,Public Out-of-State,Bachelor's Degree,34641,138564
253,2021,New Hampshire,Private,Bachelor's Degree,29103,116412
254,2021,New Hampshire,Private,Doctoral Degree,55062,275310
255,2021,New Hampshire,Private,Master's Degree,44236,88472
256,2021,New Hampshire,Public In-State,Associate Degree,7123,14246
257,2021,New Hampshire,Public In-State,Bachelor's Degree,12472,49888
258,2021,New Hampshire,Public In-State,Doctoral Degree,32122,160610
259,2021,New Hampshire,Public In-State,Master's Degree,26775,53550
260,2021,New Hampshire,Public Out-of-State,Associate Degree,15343,30686
261,2021,New Hampshire,Public Out-of-State,Bachelor's Degree,43728,174912
262,2021,New Jersey,Private,Bachelor's Degree,52441,209764
263,2021,New Jersey,Private,Doctoral Degree,57537,287685
264,2021,New Jersey,Private,Master's Degree,47620,95240
265,2021,New Jersey,Public In-State,Associate Degree,4919,9838
266,2021,New Jersey,Public In-State,Bachelor's Degree,14151,56604
267,2021,New Jersey,Public In-State,Doctoral Degree,34532,172660
268,2021,New Jersey,Public In-State,Master's Degree,25670,51340
269,2021,New Jersey,Public Out-of-State,Associate Degree,8136,16272
270,2021,New Jersey,Public Out-of-State,Bachelor's Degree,42833,171332
271,2021,New Mexico,Private,Bachelor's Degree,36770,147080
272,2021,New Mexico,Private,Doctoral Degree,51376,256880
273,2021,New Mexico,Private,Master's Degree,46843,93686
274,2021,New Mexico,Public In-State,Associate Degree,1766,3532
275,2021,New Mexico,Public In-State,Bachelor's Degree,9719,38876
276,2021,New Mexico,Public In-State,Doctoral Degree,34622,173110
277,2021,New Mexico,Public In-State,Master's Degree,24369,48738
278,2021,New Mexico,Public Out-of-State,Associate Degree,6236,12472
279,2021,New Mexico,Public Out-of-State,Bachelor's Degree,31364,125456
280,2021,New York,Private,Bachelor's Degree,58423,233692
281,2021,New York,Private,Doctoral Degree,56760,283800
282,2021,New York,Private,Master's Degree,46943,93886
283,2021,New York,Public In-State,Associate Degree,5576,11152
284,2021,New York,Public In-State,Bachelor's Degree,15815,63260
285,2021,New York,Public In-State,Doctoral Degree,34332,171660
286,2021,New York,Public In-State,Master's Degree,24868,49736
287,2021,New York,Public Out-of-State,Associate Degree,8874,17748
288,2021,New York,Public Out-of-State,Bachelor's Degree,35928,143712
289,2021,North Carolina,Private,Bachelor's Degree,49894,199576
290,2021,North Carolina,Private,Doctoral Degree,52218,261090
291,2021,North Carolina,Private,Master's Degree,45230,90460
292,2021,North Carolina,Public In-State,Associate Degree,2474,4948
293,2021,North Carolina,Public In-State,Bachelor's Degree,10519,42076
294,2021,North Carolina,Public In-State,Doctoral Degree,34750,173750
295,2021,North Carolina,Public In-State,Master's Degree,25327,50654
296,2021,North Carolina,Public Out-of-State,Associate Degree,8511,17022
297,2021,North Carolina,Public Out-of-State,Bachelor's Degree,33655,134620
298,2021,North Dakota,Private,Bachelor's Degree,24624,98496
299,2021,North Dakota,Private,Doctoral Degree,49915,249575
300,2021,North Dakota,Private,Master's Degree,42900,85800
301,2021,North Dakota,Public In-State,Associate Degree,5233,10466
302,2021,North Dakota,Public In-State,Bachelor's Degree,8992,35968
303,2021,North Dakota,Public In-State,Doctoral Degree,32610,163050
304,2021,North Dakota,Public In-State,Master's Degree,24778,49556
305,2021,North Dakota,Public Out-of-State,Associate Degree,6186,12372
306,2021,North Dakota,Public Out-of-State,Bachelor's Degree,22493,89972
307,2021,Ohio,Private,Bachelor's Degree,47536,190144
308,2021,Ohio,Private,Doctoral Degree,55081,275405
309,2021,Ohio,Private,Master's Degree,46588,93176
310,2021,Ohio,Public In-State,Associate Degree,4416,8832
311,2021,Ohio,Public In-State,Bachelor's Degree,12811,51244
312,2021,Ohio,Public In-State,Doctoral Degree,34178,170890
313,2021,Ohio,Public In-State,Master's Degree,25021,50042
314,2021,Ohio,Public Out-of-State,Associate Degree,7888,15776
315,2021,Ohio,Public Out-of-State,Bachelor's Degree,39024,156096
316,2021,Oklahoma,Private,Bachelor's Degree,39823,159292
317,2021,Oklahoma,Private,Doctoral Degree,57187,285935
318,2021,Oklahoma,Private,Master's Degree,40723,81446
319,2021,Oklahoma,Public In-State,Associate Degree,4194,8388
320,2021,Oklahoma,Public In-State,Bachelor's Degree,9219,36876
321,2021,Oklahoma,Public In-State,Doctoral Degree,34029,170145
322,2021,Oklahoma,Public In-State,Master's Degree,24802,49604
323,2021,Oklahoma,Public Out-of-State,Associate Degree,9320,18640
324,2021,Oklahoma,Public Out-of-State,Bachelor's Degree,30956,123824
325,2021,Oregon,Private,Bachelor's Degree,58711,234844
326,2021,Oregon,Private,Doctoral Degree,50805,254025
327,2021,Oregon,Private,Master's Degree,47353,94706
328,2021,Oregon,Public In-State,Associate Degree,5136,10272
329,2021,Oregon,Public In-State,Bachelor's Degree,12980,51920
330,2021,Oregon,Public In-State,Doctoral Degree,31844,159220
331,2021,Oregon,Public In-State,Master's Degree,26773,53546
332,2021,Oregon,Public Out-of-State,Associate Degree,8710,17420
333,2021,Oregon,Public Out-of-State,Bachelor's Degree,46915,187660
334,2021,Pennsylvania,Private,Bachelor's Degree,58357,233428
335,2021,Pennsylvania,Private,Doctoral Degree,56378,281890
336,2021,Pennsylvania,Private,Master's Degree,45821,91642
337,2021,Pennsylvania,Public In-State,Associate Degree,5441,10882
338,2021,Pennsylvania,Public In-State,Bachelor's Degree,11508,46032
339,2021,Pennsylvania,Public In-State,Doctoral Degree,36433,182165
340,2021,Pennsylvania,Public In-State,Master's Degree,25664,51328
341,2021,Pennsylvania,Public Out-of-State,Associate Degree,12808,25616
342,2021,Pennsylvania,Public Out-of-State,Bachelor's Degree,37205,148820
343,2021,Rhode Island,Private,Bachelor's Degree,61692,246768
344,2021,Rhode Island,Private,Doctoral Degree,58937,294685
345,2021,Rhode Island,Private,Master's Degree,45006,90012
346,2021,Rhode Island,Public In-State,Associate Degree,4806,9612
347,2021,Rhode Island,Public In-State,Bachelor's Degree,13249,52996
348,2021,Rhode Island,Public In-State,Doctoral Degree,35713,178565
349,2021,Rhode Island,Public In-State,Master's Degree,27438,54876
350,2021,Rhode Island,Public Out-of-State,Associate Degree,12884,25768
351,2021,Rhode Island,Public Out-of-State,Bachelor's Degree,45360,181440
352,2021,South Carolina,Private,Bachelor's Degree,37629,150516
353,2021,South Carolina,Private,Doctoral Degree,52625,263125
354,2021,South Carolina,Private,Master's Degree,42857,85714
355,2021,South Carolina,Public In-State,Associate Degree,4964,9928
356,2021,South Carolina,Public In-State,Bachelor's Degree,10637,42548
357,2021,South Carolina,Public In-State,Doctoral Degree,32883,164415
358,2021,South Carolina,Public In-State,Master's Degree,26677,53354
359,2021,South Carolina,Public Out-of-State,Associate Degree,10313,20626
360,2021,South Carolina,Public Out-of-State,Bachelor's Degree,43692,174768
361,2021,South Dakota,Private,Bachelor's Degree,35229,140916
362,2021,South Dakota,Private,Doctoral Degree,55637,278185
363,2021,South Dakota,Private,Master's Degree,42361,84722
364,2021,South Dakota,Public In-State,Associate Degree,7326,14652
365,2021,South Dakota,Public In-State,Bachelor's Degree,8166,32664
366,2021,South Dakota,Public In-State,Doctoral Degree,35049,175245
367,2021,South Dakota,Public In-State,Master's Degree,26305,52610
368,2021,South Dakota,Public Out-of-State,Associate Degree,7224,14448
369,2021,South Dakota,Public Out-of-State,Bachelor's Degree,21090,84360
370,2021,Tennessee,Private,Bachelor's Degree,41411,165644
371,2021,Tennessee,Private,Doctoral Degree,57116,285580
372,2021,Tennessee,Private,Master's Degree,43758,87516
373,2021,Tennessee,Public In-State,Associate Degree,4361,8722
374,2021,Tennessee,Public In-State,Bachelor's Degree,10368,41472
375,2021,Tennessee,Public In-State,Doctoral Degree,33873,169365
376,2021,Tennessee,Public In-State,Master's Degree,24814,49628
377,2021,Tennessee,Public Out-of-State,Associate Degree,17013,34026
378,2021,Tennessee,Public Out-of-State,Bachelor's Degree,35414,141656
379,2021,Texas,Private,Bachelor's Degree,49884,199536
380,2021,Texas,Private,Doctoral Degree,49913,249565
381,2021,Texas,Private,Master's Degree,47418,94836
382,2021,Texas,Public In-State,Associate Degree,2828,5656
383,2021,Texas,Public In-State,Bachelor's Degree,10309,41236
384,2021,Texas,Public In-State,Doctoral Degree,30735,153675
385,2021,Texas,Public In-State,Master's Degree,24822,49644
386,2021,Texas,Public Out-of-State,Associate Degree,7764,15528
387,2021,Texas,Public Out-of-State,Bachelor's Degree,35780,143120
388,2021,Utah,Private,Bachelor's Degree,15911,63644
389,2021,Utah,Private,Doctoral Degree,56122,280610
390,2021,Utah,Private,Master's Degree,45865,91730
391,2021,Utah,Public In-State,Associate Degree,3989,7978
392,2021,Utah,Public In-State,Bachelor's Degree,7889,31556
393,2021,Utah,Public In-State,Doctoral Degree,34715,173575
394,2021,Utah,Public In-State,Master's Degree,25306,50612
395,2021,Utah,Public Out-of-State,Associate Degree,12709,25418
396,2021,Utah,Public Out-of-State,Bachelor's Degree,29484,117936
397,2021,Vermont,Private,Bachelor's Degree,63371,253484
398,2021,Vermont,Private,Doctoral Degree,53210,266050
399,2021,Vermont,Private,Master's Degree,46355,92710
400,2021,Vermont,Public In-State,Associate Degree,6920,13840
401,2021,Vermont,Public In-State,Bachelor's Degree,13159,52636
402,2021,Vermont,Public In-State,Doctoral Degree,33733,168665
403,2021,Vermont,Public In-State,Master's Degree,26412,52824
404,2021,Vermont,Public Out-of-State,Associate Degree,13640,27280
405,2021,Vermont,Public Out-of-State,Bachelor's Degree,55122,220488
406,2021,Virginia,Private,Bachelor's Degree,35403,141612
407,2021,Virginia,Private,Doctoral Degree,56249,281245
408,2021,Virginia,Private,Master's Degree,44808,89616
409,2021,Virginia,Public In-State,Associate Degree,5228,10456
410,2021,Virginia,Public In-State,Bachelor's Degree,11830,47320
411,2021,Virginia,Public In-State,Doctoral Degree,34619,173095
412,2021,Virginia,Public In-State,Master's Degree,24808,49616
413,2021,Virginia,Public Out-of-State,Associate Degree,12059,24118
414,2021,Virginia,Public Out-of-State,Bachelor's Degree,48023,192092
415,2021,Washington,Private,Bachelor's Degree,54047,216188
416,2021,Washington,Private,Doctoral Degree,54118,270590
417,2021,Washington,Private,Master's Degree,42978,85956
418,2021,Washington,Public In-State,Associate Degree,4564,9128
419,2021,Washington,Public In-State,Bachelor's Degree,13541,54164
420,2021,Washington,Public In-State,Doctoral Degree,33483,167415
421,2021,Washington,Public In-State,Master's Degree,26001,52002
422,2021,Washington,Public Out-of-State,Associate Degree,7186,14372
423,2021,Washington,Public Out-of-State,Bachelor's Degree,44432,177728
424,2021,West Virginia,Private,Bachelor's Degree,22303,89212
425,2021,West Virginia,Private,Doctoral Degree,54637,273185
426,2021,West Virginia,Private,Master's Degree,45305,90610
427,2021,West Virginia,Public In-State,Associate Degree,4470,8940
428,2021,West Virginia,Public In-State,Bachelor's Degree,11060,44240
429,2021,West Virginia,Public In-State,Doctoral Degree,32718,163590
430,2021,West Virginia,Public In-State,Master's Degree,26373,52746
431,2021,West Virginia,Public Out-of-State,Associate Degree,9781,19562
432,2021,West Virginia,Public Out-of-State,Bachelor's Degree,33535,134140
433,2021,Wisconsin,Private,Bachelor's Degree,47063,188252
434,2021,Wisconsin,Private,Doctoral Degree,55193,275965
435,2021,Wisconsin,Private,Master's Degree,43318,86636
436,2021,Wisconsin,Public In-State,Associate Degree,4534,9068
437,2021,Wisconsin,Public In-State,Bachelor's Degree,9093,36372
438,2021,Wisconsin,Public In-State,Doctoral Degree,35312,176560
439,2021,Wisconsin,Public In-State,Master's Degree,26361,52722
440,2021,Wisconsin,Public Out-of-State,Associate Degree,6552,13104
441,2021,Wisconsin,Public Out-of-State,Bachelor's Degree,36063,144252
442,2021,Wyoming,Private,Doctoral Degree,54462,272310
443,2021,Wyoming,Private,Master's Degree,45489,90978
444,2021,Wyoming,Public In-State,Associate Degree,3987,7974
445,2021,Wyoming,Public In-State,Bachelor's Degree,9799,39196
446,2021,Wyoming,Public In-State,Doctoral Degree,31982,159910
447,2021,Wyoming,Public In-State,Master's Degree,26901,53802
448,2021,Wyoming,Public Out-of-State,Associate Degree,9820,19640
449,2021,Wyoming,Public Out-of-State,Bachelor's Degree,24509,98036
450,2022,Alabama,Private,Associate Degree,27275,54550
451,2022,Alabama,Private,Bachelor's Degree,54169,216676
452,2022,Alabama,Private,Doctoral Degree,54510,272550
453,2022,Alabama,Private,Master's Degree,41149,82298
454,2022,Alabama,Public In-State,Associate Degree,12592,25184
455,2022,Alabama,Public In-State,Bachelor's Degree,20861,83444
