CareerField,CareerLevel,EducationLevel,MonthlyIncome
Transportation,Senior,High School,4464
Media,Senior,Bachelor's Degree,6814
Forestry,Entry,Master's Degree,7885
Forestry,Entry,Bachelor's Degree,6282
Technology,Mid,Master's Degree,6682
Legal,Mid,Bachelor's Degree,6736
Engineering,Senior,Bachelor's Degree,6700
Energy,Senior,Bachelor's Degree,7321
Retail,Mid,Master's Degree,7572
Government,Entry,Master's Degree,9169
Defense,Entry,Master's Degree,7323
Transportation,Entry,Associate Degree,4389
Education,Entry,Associate Degree,5311
Real Estate,Entry,High School,4357
Manufacturing,Entry,Bachelor's Degree,5539
Healthcare,Mid,Master's Degree,8060
Finance,Mid,Master's Degree,9068
Fishing,Mid,High School,4777
Mining,Entry,Bachelor's Degree,5875
Government,Senior,PhD,11621
Energy,Mid,Bachelor's Degree,5931
Media,Entry,High School,4109
Technology,Entry,Associate Degree,5214
Finance,Mid,Associate Degree,4210
Education,Mid,Bachelor's Degree,7695
Construction,Senior,Associate Degree,3837
Energy,Senior,Bachelor's Degree,7948
Media,Entry,Associate Degree,3824
Media,Senior,Master's Degree,7302
Education,Entry,PhD,10033
Agriculture,Entry,Bachelor's Degree,7168
Government,Entry,Bachelor's Degree,7679
Defense,Entry,Bachelor's Degree,7844
Finance,Entry,Associate Degree,4311
Real Estate,Mid,Bachelor's Degree,6368
Construction,Entry,High School,4329
Real Estate,Entry,High School,3363
Healthcare,Mid,Associate Degree,3811
Education,Senior,Master's Degree,8087
Real Estate,Mid,High School,3523
Legal,Mid,Bachelor's Degree,6841
Mining,Senior,High School,4309
Mining,Mid,Bachelor's Degree,7918
Finance,Mid,Associate Degree,5233
Engineering,Mid,Master's Degree,6867
Engineering,Mid,Master's Degree,9223
Education,Senior,Associate Degree,4425
Mining,Mid,Associate Degree,5033
Manufacturing,Mid,Master's Degree,7884
Transportation,Mid,High School,4002
Fishing,Senior,High School,4739
Engineering,Entry,Bachelor's Degree,5542
Healthcare,Senior,Associate Degree,4396
Transportation,Mid,High School,3812
Forestry,Entry,Associate Degree,5467
Fishing,Senior,High School,4116
Healthcare,Mid,High School,4215
Transportation,Mid,Bachelor's Degree,5469
Engineering,Entry,Master's Degree,7135
Healthcare,Mid,High School,4402
Forestry,Senior,Master's Degree,8916
Energy,Mid,Master's Degree,9018
Finance,Mid,Bachelor's Degree,5760
Retail,Mid,Associate Degree,5256
Mining,Senior,High School,4812
Retail,Mid,Bachelor's Degree,5513
Construction,Mid,Master's Degree,6444
Agriculture,Entry,Bachelor's Degree,6049
Legal,Mid,Bachelor's Degree,7369
Logistics,Mid,High School,3588
Manufacturing,Mid,Associate Degree,5276
Technology,Entry,Associate Degree,5698
Healthcare,Entry,Associate Degree,5609
Fishing,Mid,Bachelor's Degree,6121
Construction,Mid,Associate Degree,5614
Real Estate,Mid,High School,3420
Agriculture,Entry,Associate Degree,4269
Government,Mid,PhD,11158
Mining,Senior,Bachelor's Degree,7796
Education,Mid,Associate Degree,4128
Real Estate,Mid,Master's Degree,8200
Forestry,Mid,Bachelor's Degree,7390
Manufacturing,Mid,Master's Degree,8437
Education,Senior,Master's Degree,7688
Real Estate,Senior,Master's Degree,9321
Healthcare,Senior,Master's Degree,7186
Government,Mid,Master's Degree,9076
Engineering,Mid,Bachelor's Degree,6882
Transportation,Entry,Master's Degree,8389
Government,Mid,Bachelor's Degree,5367
Construction,Entry,Master's Degree,6688
Retail,Entry,Master's Degree,8617
Healthcare,Entry,Associate Degree,4494
Education,Entry,Master's Degree,6546
Defense,Mid,Bachelor's Degree,7886
Defense,Mid,High School,3716
Construction,Entry,Bachelor's Degree,6164
Energy,Entry,Bachelor's Degree,7814
Retail,Mid,High School,4672
Fishing,Entry,Associate Degree,5580
Real Estate,Entry,Master's Degree,7531
Energy,Mid,Associate Degree,4368
Defense,Mid,Master's Degree,8605
Healthcare,Senior,High School,4655
Forestry,Mid,Bachelor's Degree,6971
Construction,Entry,Bachelor's Degree,7807
Forestry,Senior,Associate Degree,5374
Healthcare,Mid,Master's Degree,9082
Manufacturing,Mid,Associate Degree,4316
Education,Senior,Master's Degree,8509
Construction,Entry,PhD,9601
Manufacturing,Mid,Master's Degree,7866
Legal,Mid,Associate Degree,3987
Logistics,Mid,Associate Degree,3910
Fishing,Entry,High School,3844
Healthcare,Entry,Associate Degree,5711
Government,Entry,Master's Degree,6791
Transportation,Entry,High School,4111
Forestry,Mid,PhD,11094
Defense,Mid,Master's Degree,9123
Education,Senior,High School,4547
Logistics,Senior,Associate Degree,5277
Energy,Entry,Bachelor's Degree,6042
Forestry,Mid,PhD,8777
Logistics,Mid,Bachelor's Degree,7933
Technology,Entry,Associate Degree,4127
Defense,Entry,Master's Degree,9000
Technology,Mid,Bachelor's Degree,6848
Defense,Entry,Master's Degree,7709
Healthcare,Mid,Bachelor's Degree,5738
Forestry,Entry,High School,4189
Education,Senior,Bachelor's Degree,7748
Finance,Mid,High School,4182
Government,Entry,Master's Degree,9216
Energy,Senior,Master's Degree,7923
Logistics,Mid,Master's Degree,6810
Transportation,Entry,Bachelor's Degree,6558
Finance,Entry,Master's Degree,7402
Manufacturing,Senior,Associate Degree,4281
Energy,Mid,Bachelor's Degree,6754
Agriculture,Mid,Associate Degree,4476
Education,Mid,Associate Degree,3858
Transportation,Mid,Associate Degree,4821
Government,Entry,Master's Degree,6472
Defense,Entry,High School,3625
Media,Mid,Bachelor's Degree,7810
Government,Entry,Associate Degree,5667
Healthcare,Entry,High School,4091
Forestry,Entry,Bachelor's Degree,6451
Logistics,Entry,Bachelor's Degree,7098
Healthcare,Entry,PhD,10604
Forestry,Entry,Associate Degree,4589
Engineering,Mid,Associate Degree,4363
Transportation,Mid,Bachelor's Degree,5742
Technology,Mid,High School,4119
Finance,Entry,Bachelor's Degree,6257
Retail,Entry,Associate Degree,4076
Construction,Senior,Associate Degree,4167
Government,Senior,Master's Degree,6403
Retail,Entry,Associate Degree,4220
Agriculture,Entry,Associate Degree,5661
Logistics,Mid,High School,3650
Energy,Entry,Associate Degree,5045
Forestry,Senior,Bachelor's Degree,5415
Fishing,Mid,Bachelor's Degree,5747
Education,Senior,Bachelor's Degree,7756
Engineering,Mid,Bachelor's Degree,6079
Retail,Mid,High School,4295
Energy,Mid,PhD,8273
Fishing,Mid,Bachelor's Degree,5580
Technology,Mid,Bachelor's Degree,5751
Transportation,Mid,PhD,9775
Defense,Entry,Associate Degree,4845
Government,Senior,Master's Degree,9328
Retail,Mid,High School,3475
Mining,Entry,Associate Degree,4253
Technology,Mid,PhD,11615
Legal,Entry,Master's Degree,8580
Forestry,Mid,Associate Degree,4956
Defense,Senior,Master's Degree,9276
Agriculture,Mid,Bachelor's Degree,5553
Construction,Senior,High School,4620
Defense,Mid,High School,4238
Legal,Senior,Bachelor's Degree,6803
Technology,Senior,Associate Degree,4859
Forestry,Entry,High School,4322
Mining,Senior,Associate Degree,4772
Legal,Mid,Associate Degree,5331
Logistics,Senior,Master's Degree,9157
Technology,Mid,Master's Degree,8827
Transportation,Entry,Master's Degree,7861
Real Estate,Entry,Bachelor's Degree,7829
Finance,Entry,Associate Degree,4848
Energy,Entry,Bachelor's Degree,7922
Agriculture,Senior,Master's Degree,6526
Logistics,Mid,Master's Degree,7544
Engineering,Senior,Bachelor's Degree,6479
Logistics,Entry,Master's Degree,7772
Energy,Entry,Bachelor's Degree,6439
Government,Entry,Associate Degree,4951
Defense,Entry,Master's Degree,8170
Energy,Senior,High School,3867
Transportation,Senior,Associate Degree,5515
Healthcare,Senior,Associate Degree,4481
Technology,Mid,High School,4268
Technology,Mid,High School,4049
Education,Mid,High School,3637
Healthcare,Senior,Bachelor's Degree,5740
Construction,Mid,Bachelor's Degree,7633
Defense,Mid,PhD,9109
Fishing,Mid,Associate Degree,4355
Energy,Senior,Master's Degree,7258
Manufacturing,Senior,Bachelor's Degree,6593
Transportation,Entry,Bachelor's Degree,5732
Real Estate,Entry,Bachelor's Degree,5812
Technology,Mid,High School,3942
Technology,Entry,Associate Degree,5031
Finance,Mid,High School,3412
Transportation,Entry,Bachelor's Degree,6467
Fishing,Mid,Associate Degree,5087
Real Estate,Senior,High School,4086
Media,Entry,High School,4743
Transportation,Mid,Bachelor's Degree,7126
Construction,Entry,Master's Degree,7018
Real Estate,Mid,High School,3595
Energy,Senior,Associate Degree,3926
Logistics,Entry,Associate Degree,5687
Energy,Entry,Master's Degree,6985
Defense,Entry,PhD,11159
Manufacturing,Senior,Bachelor's Degree,5665
Transportation,Entry,High School,3600
Forestry,Senior,Master's Degree,9186
Real Estate,Entry,Bachelor's Degree,6709
Defense,Mid,Bachelor's Degree,5900
Media,Mid,Bachelor's Degree,7105
Mining,Senior,PhD,8691
Transportation,Senior,Bachelor's Degree,6829
Technology,Entry,Bachelor's Degree,6594
Mining,Senior,Master's Degree,9062
Fishing,Mid,Bachelor's Degree,5860
Construction,Mid,Bachelor's Degree,7704
Agriculture,Mid,Bachelor's Degree,7590
Finance,Mid,Associate Degree,4542
Construction,Mid,Bachelor's Degree,7934
Fishing,Mid,High School,3516
Energy,Mid,Bachelor's Degree,5652
Legal,Entry,Bachelor's Degree,7544
Government,Entry,Master's Degree,8386
Finance,Entry,Master's Degree,6825
Logistics,Entry,Bachelor's Degree,6888
Media,Senior,Bachelor's Degree,7678
Forestry,Mid,Bachelor's Degree,7310
Agriculture,Entry,Master's Degree,8742
Education,Senior,Associate Degree,5671
Finance,Entry,Master's Degree,8696
Forestry,Entry,Associate Degree,4528
Manufacturing,Entry,Master's Degree,6986
Transportation,Entry,High School,4573
Mining,Mid,Master's Degree,8928
Agriculture,Mid,Master's Degree,7473
Construction,Senior,High School,3883
Healthcare,Senior,Bachelor's Degree,7515
Legal,Senior,Bachelor's Degree,6663
Construction,Mid,High School,4560
Healthcare,Mid,Bachelor's Degree,7811
Education,Entry,High School,3283
Transportation,Entry,Bachelor's Degree,5423
Fishing,Mid,High School,4194
Agriculture,Mid,Associate Degree,4455
Real Estate,Senior,High School,3299
Agriculture,Mid,Bachelor's Degree,6822
Retail,Entry,Bachelor's Degree,7340
Real Estate,Senior,High School,4212
Mining,Entry,Master's Degree,6449
Finance,Entry,Master's Degree,7645
Energy,Entry,Bachelor's Degree,7849
Healthcare,Entry,Master's Degree,9201
Healthcare,Senior,Master's Degree,8423
Education,Entry,PhD,9478
Forestry,Mid,High School,3590
Education,Mid,Associate Degree,4557
Defense,Entry,Associate Degree,4608
Defense,Mid,Bachelor's Degree,5746
Construction,Mid,PhD,8893
Manufacturing,Senior,Bachelor's Degree,6574
Real Estate,Senior,Bachelor's Degree,6519
Engineering,Mid,High School,4455
Manufacturing,Entry,Bachelor's Degree,5993
Media,Entry,High School,3401
Agriculture,Entry,Bachelor's Degree,5839
Technology,Entry,Associate Degree,4770
Manufacturing,Mid,Master's Degree,9487
Fishing,Entry,Associate Degree,5140
Finance,Senior,Bachelor's Degree,6557
Healthcare,Mid,Master's Degree,7789
Energy,Entry,High School,4720
Technology,Mid,PhD,11646
Energy,Mid,Bachelor's Degree,5827
Legal,Senior,Bachelor's Degree,6488
Real Estate,Mid,Bachelor's Degree,6940
Media,Mid,Bachelor's Degree,6416
Agriculture,Mid,Master's Degree,9271
Manufacturing,Mid,Bachelor's Degree,5816
Government,Entry,Associate Degree,5351
Real Estate,Mid,High School,3780
Engineering,Entry,High School,3831
Education,Senior,Associate Degree,4351
Media,Entry,Bachelor's Degree,5589
Real Estate,Mid,Master's Degree,6539
Energy,Entry,Master's Degree,6964
Manufacturing,Entry,Bachelor's Degree,7411
Energy,Entry,Bachelor's Degree,6686
Defense,Entry,High School,3255
Construction,Entry,Associate Degree,5256
Technology,Entry,Bachelor's Degree,7356
Real Estate,Entry,Associate Degree,3939
Agriculture,Mid,Bachelor's Degree,5884
Manufacturing,Entry,Bachelor's Degree,5728
Finance,Mid,Associate Degree,4235
Legal,Mid,Master's Degree,7263
Forestry,Entry,PhD,11723
Construction,Senior,High School,4070
Forestry,Entry,High School,4106
Engineering,Mid,Master's Degree,6390
Agriculture,Mid,Bachelor's Degree,6384
Energy,Entry,Associate Degree,4133
Mining,Mid,Master's Degree,8726
Manufacturing,Senior,Master's Degree,6404
Real Estate,Entry,High School,4298
Construction,Senior,High School,4269
Technology,Mid,Associate Degree,5639
Energy,Senior,Associate Degree,4338
Healthcare,Entry,Bachelor's Degree,6141
Finance,Senior,Bachelor's Degree,6142
Real Estate,Mid,Bachelor's Degree,5964
Manufacturing,Entry,Associate Degree,5164
Media,Entry,Master's Degree,7779
Transportation,Entry,Bachelor's Degree,6892
Education,Entry,Bachelor's Degree,6013
Defense,Entry,Master's Degree,7150
Education,Senior,Master's Degree,9226
Finance,Entry,Bachelor's Degree,6402
Construction,Senior,Bachelor's Degree,7403
Mining,Senior,Bachelor's Degree,5600
Legal,Entry,Associate Degree,3964
Retail,Mid,High School,3342
Media,Mid,Associate Degree,4818
Government,Entry,High School,3852
Forestry,Senior,PhD,11353
Technology,Mid,Bachelor's Degree,5497
Retail,Entry,Bachelor's Degree,6464
Technology,Mid,Associate Degree,4578
Forestry,Mid,Bachelor's Degree,5644
Legal,Entry,Bachelor's Degree,6248
Engineering,Mid,High School,3229
Forestry,Senior,Master's Degree,9525
Retail,Entry,Master's Degree,7271
Finance,Mid,High School,3924
Real Estate,Mid,Bachelor's Degree,7068
Construction,Entry,Master's Degree,7574
Government,Entry,High School,4422
Energy,Mid,High School,4812
Defense,Entry,Master's Degree,9470
Fishing,Mid,Associate Degree,4167
Legal,Mid,High School,3642
Mining,Mid,Bachelor's Degree,7038
Agriculture,Entry,Bachelor's Degree,7799
Manufacturing,Mid,Associate Degree,4148
Technology,Senior,Master's Degree,9382
Logistics,Mid,Associate Degree,4287
Finance,Mid,Master's Degree,9362
Engineering,Senior,Bachelor's Degree,8008
Real Estate,Senior,Master's Degree,6558
Agriculture,Senior,Associate Degree,4338
Real Estate,Mid,Associate Degree,4580
Government,Entry,Master's Degree,8867
Energy,Entry,High School,3748
Logistics,Entry,PhD,11515
Engineering,Mid,Associate Degree,5064
Media,Mid,Bachelor's Degree,7821
Technology,Entry,Associate Degree,4682
Mining,Entry,Master's Degree,7501
Defense,Entry,Master's Degree,8020
Government,Entry,Bachelor's Degree,7273
Mining,Mid,Master's Degree,8753
Real Estate,Entry,Associate Degree,5149
Government,Entry,Associate Degree,4459
Energy,Senior,Bachelor's Degree,6866
Education,Senior,PhD,10378
Media,Mid,Associate Degree,3844
Construction,Entry,Associate Degree,5699
Technology,Mid,Bachelor's Degree,6370
Manufacturing,Entry,Bachelor's Degree,6209
Real Estate,Senior,Master's Degree,7620
Construction,Mid,PhD,8193
Finance,Mid,Bachelor's Degree,7161
Mining,Mid,Associate Degree,4753
Transportation,Mid,Master's Degree,8230
Mining,Entry,Associate Degree,4579
Agriculture,Mid,Associate Degree,4401
Legal,Entry,Associate Degree,5151
Education,Entry,Master's Degree,7507
Energy,Entry,Associate Degree,4039
Education,Mid,High School,3722
Agriculture,Mid,Associate Degree,5588
Retail,Mid,High School,3557
Agriculture,Mid,Master's Degree,9539
Energy,Mid,High School,3635
Technology,Entry,PhD,11391
Construction,Entry,Bachelor's Degree,7537
Legal,Entry,Associate Degree,4348
Mining,Entry,Associate Degree,4274
Defense,Entry,High School,3537
Energy,Entry,Master's Degree,8095
Logistics,Mid,High School,4177
Government,Entry,Master's Degree,8055
Finance,Entry,Bachelor's Degree,6785
Healthcare,Mid,PhD,9688
Agriculture,Entry,High School,4240
Transportation,Entry,PhD,9447
Fishing,Senior,PhD,10019
Defense,Entry,Bachelor's Degree,7183
Government,Entry,Associate Degree,4587
Engineering,Mid,Bachelor's Degree,7770
Government,Senior,Master's Degree,6441
Mining,Entry,High School,4797
Legal,Entry,High School,4075
Energy,Senior,Bachelor's Degree,6342
Engineering,Mid,PhD,9809
Transportation,Entry,Master's Degree,8046
Transportation,Entry,High School,3738
Forestry,Mid,Associate Degree,5465
Construction,Senior,Associate Degree,4997
Healthcare,Mid,Associate Degree,4132
Technology,Mid,Associate Degree,4819
Construction,Entry,Master's Degree,8346
Transportation,Entry,Master's Degree,6476
Technology,Entry,High School,3896
Construction,Entry,Bachelor's Degree,7940
Defense,Mid,Bachelor's Degree,6959
Media,Mid,Associate Degree,5316
Defense,Mid,High School,4352
Transportation,Mid,High School,4269
Technology,Mid,Bachelor's Degree,7538
Media,Mid,Bachelor's Degree,7298
Finance,Mid,Master's Degree,8239
Forestry,Entry,Bachelor's Degree,5481
Manufacturing,Entry,Bachelor's Degree,5947
Transportation,Senior,Bachelor's Degree,5555
Logistics,Entry,Associate Degree,5032
Engineering,Senior,Associate Degree,4916
Agriculture,Entry,Bachelor's Degree,6576
Engineering,Mid,Master's Degree,7022
Agriculture,Senior,Associate Degree,5308
Defense,Entry,High School,3801
Retail,Senior,Master's Degree,7237
Real Estate,Mid,High School,3616
Government,Entry,High School,4299
Real Estate,Entry,High School,3348
Media,Mid,Associate Degree,3971
Education,Mid,Associate Degree,4917
Healthcare,Mid,Bachelor's Degree,6812
Logistics,Mid,Master's Degree,9261
Mining,Entry,Associate Degree,4184
Retail,Mid,Master's Degree,6862
Fishing,Mid,Bachelor's Degree,7769
Government,Entry,High School,3300
Transportation,Senior,Associate Degree,4028
Retail,Entry,Master's Degree,9033
Fishing,Mid,Bachelor's Degree,5819
Logistics,Mid,High School,4724
Real Estate,Mid,Master's Degree,8265
Manufacturing,Mid,Bachelor's Degree,5427
Legal,Senior,Bachelor's Degree,7728
Media,Entry,High School,4776
Agriculture,Entry,Associate Degree,4835
Manufacturing,Senior,High School,4758
Mining,Entry,Bachelor's Degree,7006
Logistics,Entry,PhD,10452
Energy,Senior,Bachelor's Degree,6649
Engineering,Mid,Associate Degree,4352
Energy,Entry,High School,4493
Forestry,Mid,Bachelor's Degree,6956
Retail,Mid,High School,3321
Engineering,Entry,Associate Degree,4127
Energy,Senior,Bachelor's Degree,6335
Logistics,Entry,Bachelor's Degree,5363
Construction,Senior,Bachelor's Degree,6450
Construction,Mid,Bachelor's Degree,8019
Energy,Mid,Bachelor's Degree,7446
Government,Senior,Bachelor's Degree,5727
Transportation,Entry,Bachelor's Degree,6251
Technology,Entry,High School,3399
Healthcare,Mid,Associate Degree,4508
Engineering,Mid,Bachelor's Degree,6617
Real Estate,Mid,Associate Degree,4859
Technology,Entry,Associate Degree,3848
Defense,Mid,High School,4731
Forestry,Senior,Associate Degree,5363
Agriculture,Mid,Bachelor's Degree,7166
Engineering,Entry,Bachelor's Degree,5873
Healthcare,Mid,Bachelor's Degree,7968
Agriculture,Mid,PhD,11337
Legal,Mid,Associate Degree,5505
Education,Entry,Associate Degree,4233
Government,Entry,Master's Degree,9311
Transportation,Entry,Master's Degree,6489
Government,Senior,Associate Degree,5155
Legal,Entry,Bachelor's Degree,7649
Legal,Mid,Master's Degree,7032
Manufacturing,Mid,PhD,8259
Real Estate,Senior,Associate Degree,5445
Energy,Senior,Master's Degree,6579
Media,Senior,Bachelor's Degree,5458
Transportation,Mid,Bachelor's Degree,7988
Finance,Mid,Master's Degree,8866
Agriculture,Mid,Associate Degree,4565
Manufacturing,Entry,Bachelor's Degree,6564
Forestry,Senior,Associate Degree,4113
Real Estate,Entry,Associate Degree,4799
Agriculture,Senior,Master's Degree,7687
Technology,Senior,Bachelor's Degree,7396
Fishing,Mid,Bachelor's Degree,7070
Real Estate,Mid,High School,3615
Construction,Mid,High School,4404
Agriculture,Mid,Master's Degree,8375
Legal,Mid,Associate Degree,5241
Defense,Mid,Bachelor's Degree,5489
Mining,Mid,Bachelor's Degree,7147
Logistics,Entry,Master's Degree,7664
Education,Entry,High School,3370
Government,Entry,Bachelor's Degree,6445
Engineering,Senior,High School,4227
Government,Mid,PhD,10589
Forestry,Mid,Associate Degree,4337
Government,Mid,Associate Degree,4400
Media,Senior,High School,3745
Government,Mid,Associate Degree,4180
Real Estate,Entry,Associate Degree,5639
Legal,Entry,Bachelor's Degree,5522
Technology,Entry,Bachelor's Degree,6251
Construction,Entry,Bachelor's Degree,5467
Energy,Entry,Master's Degree,8325
Forestry,Mid,Master's Degree,9211
Fishing,Mid,Bachelor's Degree,5540
Logistics,Entry,PhD,9139
Agriculture,Mid,High School,3512
Agriculture,Mid,High School,4632
Defense,Entry,Associate Degree,4835
Education,Mid,Bachelor's Degree,7471
Mining,Senior,Bachelor's Degree,5713
Construction,Entry,High School,4526
Retail,Entry,Associate Degree,4999
Engineering,Entry,Bachelor's Degree,6013
Healthcare,Entry,Master's Degree,6772
Agriculture,Entry,Master's Degree,9561
Finance,Mid,Associate Degree,5282
Technology,Entry,Bachelor's Degree,7447
Finance,Senior,PhD,9505
Energy,Senior,Master's Degree,8832
Forestry,Entry,Associate Degree,5678
Healthcare,Senior,Associate Degree,5214
Technology,Entry,High School,4829
Healthcare,Entry,Bachelor's Degree,6968
Agriculture,Entry,Master's Degree,9222
Legal,Entry,Bachelor's Degree,5827
Logistics,Entry,Bachelor's Degree,6114
Transportation,Senior,Bachelor's Degree,6131
Forestry,Mid,Associate Degree,4474
Media,Entry,Associate Degree,4536
Technology,Mid,Master's Degree,8549
Healthcare,Mid,Associate Degree,3961
Retail,Mid,High School,4614
Transportation,Senior,Bachelor's Degree,7551
Agriculture,Entry,Bachelor's Degree,6727
Government,Entry,PhD,8045
Healthcare,Mid,Associate Degree,4165
Construction,Mid,Associate Degree,4451
Real Estate,Mid,Master's Degree,7571
Technology,Entry,Bachelor's Degree,6470
Construction,Entry,Associate Degree,5540
Logistics,Mid,Master's Degree,8372
Forestry,Mid,Bachelor's Degree,5369
Manufacturing,Entry,Bachelor's Degree,7804
Agriculture,Mid,High School,3576
Mining,Mid,Master's Degree,9174
Engineering,Entry,Bachelor's Degree,6976
Finance,Entry,Associate Degree,4559
Education,Mid,High School,4088
Technology,Entry,Bachelor's Degree,7229
Finance,Mid,Master's Degree,9306
Mining,Senior,PhD,8394
Media,Entry,Master's Degree,6919
Legal,Entry,High School,3446
Legal,Mid,Associate Degree,5569
Legal,Entry,Bachelor's Degree,6999
Construction,Mid,High School,4799
Engineering,Mid,Bachelor's Degree,6385
Manufacturing,Senior,Bachelor's Degree,6186
Forestry,Entry,PhD,10180
Energy,Mid,Bachelor's Degree,7778
Legal,Mid,Bachelor's Degree,6424
Retail,Entry,High School,3481
Education,Senior,High School,4150
Construction,Senior,Master's Degree,7134
Forestry,Senior,Associate Degree,5489
Retail,Mid,Associate Degree,4628
Manufacturing,Entry,Master's Degree,6575
Agriculture,Entry,Master's Degree,9187
Real Estate,Mid,Bachelor's Degree,6559
Media,Senior,Associate Degree,3897
Technology,Entry,Master's Degree,8806
Education,Entry,Master's Degree,7903
Logistics,Senior,Associate Degree,5388
Defense,Senior,High School,4021
Education,Senior,High School,4726
Construction,Mid,Master's Degree,9404
Construction,Entry,Master's Degree,7085
Healthcare,Mid,High School,4081
Fishing,Mid,Bachelor's Degree,5866
Agriculture,Senior,Master's Degree,6433
Real Estate,Entry,Master's Degree,6922
Construction,Entry,Bachelor's Degree,7837
Media,Entry,High School,4426
Real Estate,Entry,PhD,9309
Legal,Senior,Bachelor's Degree,6946
Forestry,Entry,Master's Degree,7418
Finance,Entry,Bachelor's Degree,7819
Construction,Senior,Master's Degree,9480
Technology,Entry,Associate Degree,5438
Agriculture,Mid,Bachelor's Degree,7067
Legal,Entry,High School,3487
Real Estate,Senior,High School,3783
Engineering,Senior,High School,4507
Education,Senior,Master's Degree,6928
